"age","sex","ndepchld","wage","working","married","wage_ln","educ"
24,"female",2,908.974365234375,1,1,6.81231689453125,14
21,"female",2,NA,0,1,NA,11
26,"female",2,701.538452148438,1,1,6.55327558517456,11
57,"female",0,615.384643554688,1,1,6.42224740982056,11
39,"female",0,769.230773925781,1,1,6.64539098739624,11
49,"female",2,1120.87915039062,1,1,7.02186870574951,11
50,"female",0,748.440734863281,1,1,6.61799192428589,10
30,"female",1,891.891906738281,1,1,6.79334497451782,12
41,"female",1,NA,0,1,NA,11
30,"female",2,600,1,1,6.39692974090576,13
31,"female",2,750,1,1,6.62007331848145,10
41,"female",1,563.076904296875,1,1,6.33341598510742,10
50,"female",0,520,1,1,6.25382900238037,10
59,"female",0,785,1,1,6.66568374633789,12
57,"female",0,625.977111816406,1,1,6.4393138885498,10
65,"female",0,NA,0,1,NA,10
60,"female",0,NA,0,1,NA,16
62,"female",0,NA,0,1,NA,9
42,"female",4,455.384613037109,1,1,6.12114238739014,17
37,"female",3,379.746826171875,1,1,5.93950462341309,14
26,"female",1,NA,0,1,NA,14
33,"female",1,NA,0,1,NA,8
45,"female",0,NA,0,1,NA,11
68,"female",0,NA,0,1,NA,10
46,"female",0,714.285705566406,1,1,6.57128286361694,9
42,"female",1,952.380981445312,1,1,6.85896492004395,13
45,"female",1,828.828857421875,1,1,6.72001361846924,10
44,"female",0,1011.59112548828,1,1,6.9192795753479,11
34,"female",2,699.230773925781,1,1,6.54998064041138,13
68,"female",0,NA,0,1,NA,10
38,"female",0,650,1,1,6.47697257995605,10
50,"female",0,458.333343505859,1,1,6.12759685516357,10
28,"female",0,605.769226074219,1,1,6.40649890899658,11
33,"female",3,NA,0,1,NA,11
49,"female",0,NA,0,1,NA,11
28,"female",2,NA,0,1,NA,16
36,"female",1,873.180847167969,1,1,6.77214288711548,13
57,"female",0,NA,0,1,NA,17
59,"female",0,NA,0,1,NA,12
63,"female",0,NA,0,1,NA,15
38,"female",1,NA,0,1,NA,16
52,"female",0,1300.27966308594,1,1,7.170334815979,16
53,"female",0,1217.94873046875,1,1,7.10492324829102,13
65,"female",0,NA,0,1,NA,16
51,"female",0,725,1,1,6.58617162704468,14
63,"female",0,549.450561523438,1,1,6.30891895294189,11
47,"female",2,1435.8974609375,1,1,7.26954555511475,13
